0,1
李绍珍,    李绍珍（1932.09.16-2001.03.14）眼科学专家。1932年9月16日出生于广东省广州市，广东省台山市人。1954年毕业于华南医学院医本科，1962年于中山医学院（以上均为中山医科大学前身）眼科研究生毕业。     率先开展二期植入术、创用激光断线和综合控制法防治手术角膜散光、改进小切口超声乳化术、受卫生部委托主持手术推广、与国际合作在省内建立5个防治点、率先研究患者手术前后生存质量；创立眼生化室开展并指导白内障病因及眼免疫实验研究，发现人晶体蛋白亚基变化及凋亡基因表达与白内障形成有关、人类葡萄膜炎与视网膜抗原自身免疫有关等；有关白内障防治（第一作者）及葡萄膜炎发病机理（第二作者）等获97年及99年国际科技进步三等奖；被授予全国优秀教师称号、培养已毕业的12名博士生中2名已成为博士导师、国家及省级学科带头人培养对象；97年和98年分别获中—美及亚—太眼科学会优秀服务及科研奖状（牌）。     1999年当选为中国工程院院士。
孙俊人,    孙俊人（1915.11.15-2001.06.19）电子工程专家。江苏省松江县人。1938年毕业于上海交通大学。1938年去延安，参加组建通信工厂，克服困难，研制生产军事通信设备，为战争的胜利提供了通信保障。1952年组建解放军通信工程学院，创办全国第一个雷达工程系，制定通信、雷达专业的训练计划、教学大纲，并亲自讲课及参与其它教学实践，培养出大批学术带头人。通信兵成立时，担任科学技术部部长，为军队建立了包括通信、雷达、导航、电子对抗在内的装备研究体系，其指导思想及所制定的规划为以后的工作奠定了基础。1961 年负责组建第十研究院，并任院长，建立了为开发军事电子信息科研的完整体系。在担任电子工业部副部长期间，参加重大决策，并提出了组建新的学院及研究生培养制度的建议。参加创建中国电子学会，为促进国内、国际学术交流，开展电子信息技术经济战略研究作出重要贡献。主编《大百科全书》电子卷及《现代电子科学技术词典》获电子部特等奖。     1995年当选为中国工程院院士。
于文虎,"    于文虎（1941.12.10-2001.08.28）火力发电专家。1941年12月10日出生于江苏省苏州市，江苏省无锡市人。1966年毕业于清华大学，1995获博士学位。长期工作在电力生产第一线,从事大型汽轮发电机组的调整、运行及故障诊断工作。解决了多项大机组设计、制造及运行的关键技术问题。负责解决了东方电机厂制造的200兆瓦发电机定子的重大缺陷，获78年全国科学大会奖。负责解决了引进型300兆瓦机组因西屋公司设计错误而造成的发电机---励磁机异常振动的重大缺陷。在轴系现场平衡理论和方法方面有创造性贡献。与国外专家基本同时独立提出了“振型影响系数法”,在国内首先将计算机应用于现场平衡，提出了挠性转子在现场“挠曲变形平衡”的原理及“轴系多平面多转速的同时平衡法”，平衡启动次数约减为原方法的一半，且首次加重后震幅即可有大幅度的降低。首次提出了建立比较完善的振动故障诊断系统可需的知识范围，包括振动频谱、幅值及相位变化特性、机组结构以及与各种运行参数的关系等。建成了国内第一个“大型火电机组性能与振动远程在线分析与诊断系统”，可对各种故障作出快速的诊断分析并对运行参数优化。获国家科技进步奖二等奖两项。     1999年当选为中国工程院院士。"
姜泗长,    姜泗长（1913.09.15-2001.09.09）耳鼻咽喉科专家。天津市人。1938年毕业于北平大学医学院。在国内第一个开展显微镜下内耳开窗术、镫骨底板切除术；首先将纤维内诊镜技术，应用于诊治气管、食管疾病；主持对爆震性聋、老年性；聋、感音神经性聋等的发病机理进行深入系统的研究并取得丰硕成果，创建的专科研究所为国家重点学科点，开创了几十项高难度手术，完成了由普通耳外科向耳神经外科、头颈外科、颅底外科发展的转变，达到国际先进水平。发表论文130余篇，编写专著5部，获军队科技进步一等奖3项，军队科技进步二等奖15项，国家科技进步二等奖3项，国家科技进步三等奖1项。     1994年当选为中国工程院院士。
张维,    张维（1913.05.22-2001.10.04）固体力学家、教育家。北京人。1933年毕业于唐山交通大学土木系，1938年获伦敦帝国理工学院工程硕士学位，1944年获德国柏林高等工业学校博士学位。在壳体理论和应用领域取得了首创性和系统性成果。1944年首创圆环壳渐近解的成果而享誉国际学术界。在以后50多年锲而不舍地在带有顶点奇异点的旋转对称壳体问题的研究中取得一系列重要成果（环壳方程的通解、环壳非线性分析的摄动解、环壳的屈曲与后屈曲、旋转壳振动的转点问题等），开拓和丰富了壳体理论。应用壳体理论于弹性元件、转子设计、波纹管膨胀节、双曲拱壳屋盖、潜艇加肋艇身等民用和国防工程方面，解决技术关键问题，作出重要贡献。几十年来，全身心地致力于发展我国工程教育和科技事业。为提高清华大学办学水平和声誉、创建深圳大学、筹建和发展我国的工程力学专业、培养工程技术人才的、制定历次科技发展规划作出了巨大贡献。1955年当选中国科学院院士。     1994年当选中国工程院院士。
姚绍福,    姚绍福（1932.10.13-2001.11.17）飞航导弹武器系统总体设计专家。湖南省桃源县人。1959年毕业于原苏联莫斯科动力学院。先后任多种型号飞航导弹武器系统的正、副总设计师，解决了该武器系统总体设计领域中的一系列关键技术，为发展我国飞航导弹做出重大贡献。分获国家科技进步奖特等奖、一等奖和二等奖，主持论证我国飞航导弹的发展战略的研究工作。发表论文、科技报告和著作10余篇。     1997年当选为中国工程院院士。
许国志,    许国志（1919.04.20-2001.12.15）系统工程、运筹学专家。江苏省扬州市人。1943年毕业于上海交通大学。1949年获美国堪萨斯州大学理学硕士，1953年获堪萨斯州大学哲学博士。中国系统工程的主要创建人之一。50年代负责起草我国第一个科技规划——“中国十二年科技规划”中有关运筹学发展的条目；筹建并领导了第一个运筹学研究室；组织开发第一批运筹学在运输、铁道运营和钢铁工业中的应用课题，写出了第一批有关运筹学的专著和文章。80年代开展系统工程在我国的研究，参与筹建了中国科学院系统科学研究所和国防科技大学系统工程与数学系；创建了中国系统工程学会及第一个系统工程的刊物——《系统工程的理论和实践》。为系统工程在我国的经济发展、国防建设、决策分析等方面的应用起了倡导和促进作用。     1995年当选为中国工程院院士。
陈力为,    陈力为（1917.08.30-2001.12.26）计算机与中文信息处理技术专家。山西省洪洞县人。1940年毕业于昆明西南联合大学（清华大学）。主持并参加了7种不同型号的军用计算机的研制。获1985年国家科技进步特等奖。近10余年来，解决了计算机中文处理的若干关键性和基础性问题。主持制订的国家标准“信息交换用汉字编码字符集”，获1985年国家科技进步一等奖。主持制订的国家标准“信息用汉语分词规范”为中文信息处理进入词处理阶段创造了条件，积极倡导并研究“拼音－汉字转换”的键盘输入技术，为计算机的普及应用解决了关键技术问题。推动了我国中文信息处理技术的迅速发展。     1994年当选为中国工程院院士。
李鹗鼎,    李鹗鼎（1918.03.15-2001.12.30）水力发电工程专家。原籍天津市，出生于北京。1940年毕业于清华大学。原电力工业部高级工程师。从事水电建设事业50多年，主持施工的水电站有狮子滩、三门峡、刘家峡、映秀湾、猫跳河等，解决了许多困难的技术问题，特别是复杂基础处理和大坝浇筑等。负责审查决策的大型水电工程有乌江渡、凤滩、东风、漫湾、大化、岩滩、水口、二滩、天生桥、龙羊峡等，对大量技术问题作出决策，保证了我国大型水电建设的顺利发展。极力推广、引进如面板堆石坝、碾压混凝土等先进技术，取得很好效果。1995年当选为中国工程院院士。
张启先,    张启先（1925.08.25-2002.05.25）机构学及机器人技术专家。江苏省靖江市人。1948年毕业于厦门大学获学士学位。1962年毕业于原苏联列宁格勒多科性工学院获技术科学副博士、博士学位。在国内最早发表专著《空间机构的分析与综合》，兴起了空间机构学的研究。获国家自然科学奖的“空间机构位移分析”和发明专利“三叉杆滑块式等角速万向联轴器”等成果。70年代后期，率先突破传统机构学范畴开展机器人技术的研究，负责主持了七自由度机器人、新型三指灵巧手、基于多传感器局部自主的机器人臂与灵巧手集成系统、新型擦窗机器人等项目。在国内外颇有影响。结合科研培养出博士32人。     1995年当选为中国工程院士。
