104,北京航空学院,0,4,0,1,3,2,0,0,1,0,0,0,0,0,1,1
105,北京辅仁大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,北京钢铁学院,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0
107,北平燕京大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,北洋大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,华东化工学院,0,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0
110,华东纺织工学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,华中农业大学,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
112,华南理工大学,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0
113,南京中央大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,南京大学,0,1,0,1,3,1,0,1,0,0,0,1,0,0,1,1
115,南京金陵大学,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,南通学院,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,原苏联列宁格勒造船学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,原苏联列宁格勒铁道运输工程学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,原苏联敖德萨建筑工程学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,原苏联莫斯科包曼国立技术大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,哈尔滨军事工程学院,0,1,0,0,3,2,4,0,1,0,0,0,0,0,0,0
122,唐山铁道学院,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,四川大学,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1
124,四川石油学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,国立中央技艺专科学校,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,国立中山大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,大连工学院,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
128,天津北洋大学,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,天津工商学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,安徽大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,山东农学院,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
132,山东大学,0,1,0,0,2,0,0,1,0,0,1,0,1,1,0,1
133,山东海洋学院,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,昆明工学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,比利时列日大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,民主德国麦塞堡化工学院,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,沈阳农业大学,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
138,现日本东京农工大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,瑞士联邦工业大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,美国伊利诺州立大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
