0,1
杨华勇,    流体传动与控制领域专家，主要从事机械电子控制研究。1961年1月出生于重庆市。1988年毕业于英国巴斯大学，获博士学位。     2013年当选中国工程院院士。
杨树兴,    武器系统与运用工程专家，主要从事野战火箭武器系统和制导控制技术研究。1962年11月出生于河北省唐山市。1991年毕业于北京理工大学，获工学博士学位。     2019年当选中国工程院院士。
尹泽勇,    航空发动机专家，主要从事航空发动机、直升机传动系统、多学科拓扑优化等领域研究。1945年2月出生于重庆市。1990年毕业于北京航空航天大学航空发动机专业，获博士学位。     2005年当选中国工程院院士。
尤政,    机械电子专家，主要从事微米纳米技术、智能微系统技术及其应用研究。1963年12月出生于江苏省扬州市。1990年毕业于华中科技大学机械制造及设备自动化专业，获博士学位。     2013年当选中国工程院院士。
张军,    航空交通工程技术专家，主要从事空中交通管理、航空通信导航方面研究。1965年7月出生于安徽省合肥市。2001年毕业于北京航空航天大学，获工学博士学位。     2013年当选中国工程院院士。
郑津洋,    高压容器和管道专家，主要从事氢能储运装备、深冷压力容器、柔性高压复合管和氢安全研究。1964年11月出生于浙江省嵊州市。1992年毕业于浙江大学，获工学博士学位。     2021年当选中国工程院院士。
钟志华,    车辆工程专家，主要从事汽车设计与制造技术的研究与应用。1962年7月出生于湖南省湘阴市。1988年毕业于瑞典林雪平（Linkoping）大学，获工学博士学位。     2005年当选中国工程院院士。
周济,    机械工程专家，主要从事机械设计、数控技术与智能制造研究。1946年8月出生。1970年毕业于清华大学，1984年毕业于美国纽约州立大学（布法罗），获博士学位。     1999年当选中国工程院院士。
周志成,    卫星总体技术专家，主要从事通信卫星工程、飞行器动力学与控制研究。1963年6月出生于北京市。2008年毕业于中国空间技术研究院，获博士学位。     2017年当选中国工程院院士。
朱广生,    飞行器设计领域专家，主要从事飞行器气动与总体设计研究。1963年1月出生于江苏省沛县。2006年毕业于中国航天科技集团公司一院，获博士学位。     2019年当选中国工程院院士。
朱坤,    飞行器设计专家，主要从事飞行器研究。1966年2月出生于湖南省长沙市。1991年毕业于北京航空航天大学，获硕士学位。     2021年当选中国工程院院士。
邹汝平,    多用途导弹工程技术专家，主要从事战术导弹系统总体和制导控制技术研究及装备研制。1962年9月出生于山东省威海市，2010年毕业于国防科学技术大学，获航空宇航科学与技术工学博士学位。     2021年当选中国工程院院士。
陈懋章,    空天发动机专家，主要从事高超声预冷发动机研究。1936年2月出生于四川省成都市。1957年毕业于北京航空学院（现北京航空航天大学），获学士学位。     1999年当选中国工程院院士。
陈一坚,    飞机设计专家，主要从事飞行器设计研究。1930年6月出生于福建省福州市。1952年毕业于清华大学，获学士学位。     1999年当选中国工程院院士。
陈予恕,    工程非线性动力学专家，主要从事非线性动力学理论及工程应用研究。1931年3月出生于山东省肥城市。1963年毕业于苏联科学院机械所，获副博士学位。     2005年当选中国工程院院士。
丁衡高,    惯性技术专家，主要从事惯性技术和精密机械研究。1931年2月出生于江苏省南京市。1961年毕业于前苏联列宁格勒精密机械光学学院，获技术科学副博士学位。     1994年当选中国工程院院士。
董春鹏,    水中兵器行业知名专家，主要从事水下装备技术及体系研究。1942年8月出生于河北省秦皇岛市。1966年7月毕业于中国科技大学，获学士学位。     2009年当选中国工程院院士。
杜善义,    力学和复合材料专家，主要从事飞行器结构力学和复合材料研究。1938年8月出生于辽宁省大连市。1964年毕业于中国科学技术大学近代力学系，获学士学位。     1999年当选中国工程院院士。
朵英贤,    自动武器专家，主要从事轻武器技术研究。1932年3月出生于甘肃省永靖县。1956年毕业于北京理工大学，获工学学士学位。     1999年当选中国工程院院士。
范本尧,    空间技术专家，主要从事航天器总体设计及结构机构研究。1935年8月出生于广东省汕头市。1958年毕业于清华大学力学研究班，获硕士学位。     2005年当选中国工程院院士。
冯培德,    导航制导控制专家，主要从事惯性导航研究。1941年4月出生于天津市。1966年毕业于南京航空航天大学，获研究生学位。     2001年当选中国工程院院士。
高金吉,    设备诊断及人工自愈工程专家，主要从事机械故障诊治及自愈化研究。1942年12月出生于吉林省长春市。1966年毕业于北京化工学院；1993年毕业于清华大学，获工学博士学位。     1999年当选中国工程院院士。
顾国彪,    电机设计专家，主要从事电力设备蒸发冷却技术研究。1936年6月出生于上海市。1958年毕业于清华大学，获学士学位。     1997年当选中国工程院院士。
顾诵芬,    飞行器设计领域专家，主要从事空气动力学、飞行力学与飞机设计研究。1930年2月出生于江苏省苏州市。1951年毕业于上海交通大学，获学士学位。     1994年当选中国工程院院士。
关杰,    冶金设备专家，主要从事连续铸钢设备研究。1939年11月出生于印度尼西亚。1963年毕业于原北京钢铁学院机械系。     1997年当选中国工程院院士。
郭重庆,    机械制造工艺与设备、设施规划与设计及产业发展战略专家，主要从事工程设计及管理科学与工程研究。1933年6月生于甘肃省兰州市。1957年毕业于哈尔滨工业大学，获学士学位。     1995年当选中国工程院院士。
郭孔辉,    汽车设计研究专家，主要从事汽车工程研究。1935年07月出生于福建省福州市。1956年毕业于吉林工业大学。     1994年当选中国工程院院士。
胡正寰,    零件轧制成形专家，主要从事轴类零件轧制成形研究。1934年7月出生于黑龙江省哈尔滨市。1956年毕业于北京钢铁工业学院。     1997年当选中国工程院院士。
黄崇祺,    金属导体专家，主要从事金属导体材料研究。1934年11月出生于江苏省常熟市。1957年毕业于东北工学院（现东北大学）。     1997年当选中国工程院院士。
黄瑞松,    飞航技术专家，主要从事系统工程、飞行器总体设计、导航制导与控制技术研究。1938年7月出生于江苏省宜兴市。1963年毕业于中国人民解放军军事工程学院有翼导弹自动控制专业，获学士学位。     2003年当选中国工程院院士。
黄先祥,    导弹发射与运用技术专家，主要从事导弹发射与运用技术研究。1940年4月出生于江苏省如东县。1965年毕业于北京理工大学。     1999年当选中国工程院院士。
黄旭华,    核动力潜艇专家，主要从事核动力潜艇研究。1926年3月出生于广东省汕尾市。1949年毕业于上海交通大学，获学士学位。     1994年当选中国工程院院士。
乐嘉陵,    吸气式高超声速技术领域专家，主要从事飞行器设计（包括总体、结构等）研究。1936年03月出生于浙江省镇海市。1964年毕业于北京航空学院，获研究生学位。     1995年当选中国工程院院士。
李椿萱,    飞行器设计专家，主要从事飞行器空气动力学、等离子体/磁流体动力学、超高速碰撞力学研究。1939年11月出生于云南省昆明市。1972年毕业于美国纽约州立大学，获博士学位。     1997年当选中国工程院院士。
李鹤林,    石油装备材料科学与工程专家，主要从事石油装备用钢及石油管工程研究。1937年7月出生于陕西省汉中市。1961年毕业于西安交通大学。     1997年当选中国工程院院士。
