当选年份,毕业院校,姓名,出生地
,瑞典林雪平（Linkoping）大学,1,1
,美国辛辛那提大学,1,1
,苏北农学院,3,3
,长沙铁道学院,3,3
,香港大学,1,1
,上海复旦大学,3,3
,东北师范大学,1,1
,中国人民大学,1,1
,中国石油大学,1,1
,南开大学,1,1
,宾夕法尼亚大学,1,1
,日本东北大学,3,3
,日本北里大学,1,1
,武汉建筑材料工业学院,1,1
,江西农业大学,1,1
,河北大学,1,1
,英国巴斯大学,1,1
,高雄医学大学,1,1
,中国农业科学院,2,2
,中国地质科学院,1,1
,加州大学,3,3
,北京轻工业学院,4,4
,华南农学院,1,1
,南京中医药大学,1,1
,同济医科大学,1,1
,哈尔滨建筑大学,2,2
,国防科技大学,1,1
,安徽理工大学,1,1
,康奈尔大学,1,1
,新西兰梅西大学,2,2
,日本国立九州大学,1,1
,日本筑波大学,1,1
,武汉水运工程学院,2,2
,法国里摩日大学,1,1
,爱尔兰国立大学,1,1
,美国宾夕法尼亚大学,1,1
,英国史查克莱大学,1,1
,英国赫特福德大学,2,2
,西南交通大学,13,13
,西南石油大学,1,1
,西班牙马德里大学,1,1
,（法国）巴黎南大学,1,1
,东北林业大学,1,1
,东北石油大学,1,1
,中南工业大学,1,1
,中国农业大学,1,1
,中国预防医学科学院,1,1
,加拿大卡尔加里大学,1,1
,华东石油学院,1,1
,南京医科大学,1,1
,南京师范学院,1,1
,安徽师范大学,1,1
,山西大学,1,1
,德国柏林工业大学,1,1
,新疆大学,1,1
,武汉测绘科技大学,1,1
,河北医科大学,4,4
,河海大学,2,2
,白求恩医科大学,1,1
,空军工程大学,1,1
,英国邓迪大学,1,1
,西北农业大学,1,1
,西北农林科技大学,3,3
,重庆建筑大学,1,1
,鲁汶大学,1,1
,中国传媒大学,1,1
,中国纺织大学,2,2
,北京医科大学,2,2
,华中科技大学,1,1
,南斯拉夫铁托格勒大学,1,1
,国防科学技术大学,2,2
,希腊克里特大学,1,1
,新疆兵团奎屯农校,1,1
,新西兰奥塔哥大学,1,1
,日本冈山大学,2,2
,日本名古屋大学,1,1
,法国Franche-Comté大学,1,1
,湖南农学院,1,1
,湖南师范大学,1,1
,美国堪萨斯州立大学,1,1
,英国伯明翰大学,1,1
,首都医科大学,1,1
,上海医科大学,1,1
,上海第二医科大学,1,1
,中国人民解放军农牧大学,1,1
,中国地质大学,2,2
,包头医学院,4,4
,华东理工大学,1,1
,华北电力学院,2,2
,南京林产工业学院,1,1
,哈尔滨工程大学,1,1
,太原机械学院,1,1
,成都电讯工程学院,1,1
,比利时根特大学,1,1
,江汉石油学院,1,1
,江苏农学院,1,1
,海军工程学院,2,2
,百泉农业专科学校,10,10
,石油大学,1,1
,西南财经大学,1,1
,辽宁工程技术大学,1,1
,长安大学,1,1
,长春光机学院,1,1
,北京林业大学,1,1
,北方交通大学,1,1
,原山东工学院,1,1
,太原工学院,1,1
,德国Hohenheim大学,1,1
,成都科技大学,1,1
,无锡轻工业学院,1,1
,日本东京工业大学,1,1
,昆明理工大学,2,2
,杭州大学,1,1
,武汉科技大学,2,2
,河北地质学院,1,1
,浙江工业大学,2,2
,燕山大学,1,1
,第三军医大学,1,1
,西安矿业学院,1,1
,青岛海洋大学,1,1
,不列颠哥伦比亚大学,1,1
,中山医科大学,1,1
,北京邮电大学,1,1
,华中理工大学,1,1
,华北电力大学,2,2
,原第二炮兵工程学院,2,2
,哈尔滨建筑工程学院,1,1
,国际水稻研究所/菲律宾大学,2,2
,广州中医药大学,1,1
,无锡轻工大学,1,1
,日本三重大学,1,1
,日本国立弘前大学,1,1
,日本山梨医科大学,1,1
,武汉理工大学,4,4
,江南大学,4,4
,江西理工大学,1,1
,浙江丝绸工学院,1,1
,美国内华达大学,1,1
,三峡大学,2,2
,上海交通大学医学院,1,1
,中南林业科技大学,1,1
,云南中医学院,1,1
,北京化工大学,1,1
,南京化工大学,1,1
,原中国人民解放军工程兵工程学院,1,1
,原长春地质学院,3,3
,山东矿业学院,1,1
,广州华南理工大学,1,1
,德国波恩大学,1,1
,日本国立爱媛大学,1,1
,日本鸟取大学,1,1
,电子科技大学,1,1
,西北师范大学,1,1
,西安理工大学,1,1
,解放军信息工程大学,1,1
,解放军信息工程学院,1,1
,解放军理工大学,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,5,5
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,4,4
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,3,3
,,3,3
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,2,2
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,4,4
,,1,1
,,6,6
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,6,6
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,5,5
,,2,2
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,2,2
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,4,4
,,1,1
,,1,1
,,4,4
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,2,2
,,1,1
,,1,1
,,3,3
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
,,1,1
