,河南科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,河南师范大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,河南医学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
,荷兰莱登大学,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,衡阳医学院,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2
,湖北大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
,湖南大学,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4
,湖南怀化师范专科学校,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,湖南农学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,湖南师范大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
,湖南师范学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,沪江大学,0,0,0,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
,华北煤炭医学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,华东地质学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
,华东纺织工学院,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,华东化工学院,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3
,华东理工大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3
,华东师范大学,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2
,华东石油学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
,华东水利学院,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,华南工学院,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3
,华南理工大学,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,华南农学院,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
,华南农业大学,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2
,华西大学,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,华西医科大学,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,华中工学院,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,5
,华中科技大学,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3
,华中理工大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,华中农学院,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
,华中农业大学,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,淮阴师范学院,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
吉林大学,吉林大学,0,0,0,0,0,2,2,2,2,4,4,5,9,10,10,11,14,14,17,20
,吉林工业大学,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3
,加拿大英属哥伦比亚大学,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,江南高等学校,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,江苏师范学院,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,江西大学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,江西工学院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
