姓名,出生地,毕业院校,当选年份
严新平,江西省莲花县,西安交通大学,2019
罗琦,四川省自贡市富顺县,西安交通大学,2019
张涌,内蒙古自治区和林格尔县,西北农业大学,2019
肖龙旭,山东省寿光市,原第二炮兵工程学院,2019
林君,吉林通化,长春地质学院,2019
任其龙,浙江省东阳县,浙江大学,2019
陈文兴,浙江省绍兴市,浙江丝绸工学院,2019
李术才,河北省涞水县,中国科学院,2019
董绍明,山东省莱州市,中国科学院,2019
孙凝晖,上海市,中国科学院,2019
吴汉明,上海市,中国科学院,2019
罗先刚,四川省广元市苍溪县,中国科学院,2019
郭旭升,山东省茌平市,中国科学院,2019
任发政,辽宁省营口市,中国农业大学,2019
姚斌,广西省北海市,中国农业科学院,2019
张学,黑龙江省肇州县,中国医科大学,2019
柴立元,江西省万年县,中南大学,2019
刘少军,湖南省长沙市,中山大学,2019
李校堃,陕西省富平县,中山医科大学,2019
李宁,北京市,华东石油学院,2019
王琦,江苏省高邮市,,2019
朱广生,江苏省沛县,国防科技大学,2019
王向明,黑龙江省绥化市,北京航空航天大学,2021
朱坤,湖南省长沙市,北京航空航天大学,2021
杨宏,吉林省通化市,北京航空航天大学,2021
邢丽英,山东省烟台市,北京航空航天大学,2021
王自力,江苏省南京市,北京航空学院,2021
张立群,内蒙古自治区多伦县,北京化工大学,2021
沈政昌,江苏省常熟市,北京科技大学,2021
龙腾,福建省福州市,北京理工大学,2021
周刚,湖南省涟源市,北京理工大学,2021
付梦印,内蒙古自治区鄂尔多斯市,北京理工大学,2021
胡晓棉,陕西省高陵市,北京理工大学,2021
姜保国,辽宁省沈阳市,北京医科大学,2021
田金洲,湖北省天门市,北京中医学院,2021
许唯临,吉林省吉林市,成都科技大学,2021
程杰成,黑龙江省五常市,大连理工大学,2021
谢明勇,江西省新余市,德国波恩大学,2021
蒋建新,湖南省新宁县,第三军医大学,2021
赵铱民,陕西省汉中市,第四军医大学,2021
张宏科,山西省大同市,电子科技大学,2021
邓龙江,四川省安岳县,电子科技大学,2021
吴剑旗,四川省宜宾市,电子科技大学,2021
林鸣,江苏省南京市,东南大学,2021
蒋建东,江苏省南京市,复旦大学,2021
王双飞,湖南省攸县,广州华南理工大学,2021
杨长风,湖南省益阳市南县,国防科技大学,2021
邹汝平,山东省威海市,国防科学技术大学,2021
刘宏,安徽省合肥市,哈尔滨工业大学,2021
梅洪元,辽宁省营口市,哈尔滨工业大学,2021
王军成,山东省招远市,哈尔滨工业大学,2021
唐洪武,江苏省建湖县,河海大学,2021
柏连阳,湖南省永州市,湖南农业大学,2021
饶宏,湖北省武汉市,华中工学院,2021
高宗余,江苏省南京市,华中科技大学,2021
王云鹏,吉林省舒兰市,吉林工业大学,2021
孔志印,河北省沙河市,解放军信息工程大学,2021
张宝东,河北省三河市,解放军信息工程学院,2021
杨为民,山东省烟台市,南京大学,2021
刘加平,江苏省南通海安市,南京工业大学,2021
应汉杰,浙江省慈溪市,南京化工大学,2021
沈其荣,江苏省无锡市,南京农业大学,2021
许为钢,四川省重庆市,南京农业大学,2021
肖伟,江苏省南京市,南京中医药大学,2021
王国庆,辽宁省朝阳市,清华大学,2021
罗毅,北京市,日本东京大学,2021
吴义强,河南省固始市,日本国立爱媛大学,2021
喻景权,浙江省金华市,日本鸟取大学,2021
蓝羽石,辽宁省沈阳市,山东大学,2021
范先群,安徽省淮南市,上海第二医科大学,2021
贾伟平,江苏镇江,上海交通大学医学院,2021
张来斌,安徽省铜陵市,石油大学,2021
黄殿中,江苏省徐州市,四川大学,2021
王树新,河北省张家口市宣化区市,天津大学,2021
张宗亮,山东省济南市,天津大学,2021
王成山,天津市宝坻区,天津大学,2021
朱合华,安徽省合肥市,同济大学,2021
邬堂春,四川省简阳市,同济医科大学,2021
傅正义,湖北省随州市,武汉理工大学,2021
马玉山,内蒙古省鄂尔多斯市,西安理工大学,2021
孙友宏,江苏省如皋市,原长春地质学院,2021
王明洋,湖北省仙桃市,原中国人民解放军工程兵工程学院,2021
朱兆云,云南省巍山县,云南中医学院,2021
高翔,浙江省杭州市,浙江大学,2021
郑津洋,浙江省嵊州市,浙江大学,2021
谢玉洪,河北省沧州市,中国地质大学,2021
徐卫林,湖北省罗田市,中国纺织大学,2021
江碧涛,安徽省六安市,中国科学院,2021
吴明红,福建省浦城县,中国科学院,2021
冯起,陕西省横山市,中国科学院,2021
葛世荣,浙江省天台县,中国矿业大学,2021
尹飞虎,湖南省平江县,中国农业大学,2021
谯仕彦,四川省南充市阆中市,中国农业大学,2021
周卫,江西省湖口县,中国农业科学院,2021
侯水生,陕西省三原县,中国农业科学院,2021
徐兵河,湖北省大冶市,中国协和医科大学,2021
姜涛,安徽省淮北市,中南大学,2021
单杨,湖南省株洲市,中南林业科技大学,2021
陈松林,湖北省武汉市,中山大学,2021
高天明,山西省岢岚县,中山医科大学,2021
李克强,四川省资阳市,重庆大学,2021
蒋昌俊,安徽省安庆市,山东矿业学院,2021
李得天,甘肃省白银市,西北师范大学,2021
胡亚安,湖北省云梦县,三峡大学,2021
孙焕泉,山东省诸城市,华东石油学院,2021
杜修力,四川省广安市,解放军理工大学,2021
