姓名,出生地,毕业院校,当选年份
周翔,上海市,华东纺织工学院,1995
袁渭康,上海市,华东化工学院,1995
容柏生,广东省珠海市,华南理工大学,1995
傅廷栋,广东省郁南市,华中农业大学,1995
林宗虎,浙江省湖州市,交通大学,1995
翁史烈,浙江省宁波市,交通大学,1995
郭桂蓉,四川省成都市,解放军通信工程学院,1995
戚颖敏,山东省威海市,克拉科夫矿冶学院,1995
张国成,云南省昆明市,昆明工学院,1995
庄松林,贵州省贵阳市,美国宾夕法尼亚州立大学,1995
李正名,上海,美国欧斯金大学,1995
李国杰,湖南省邵阳市,美国普渡大学,1995
陈秉聪,山东省黄县,美国伊利诺州立大学,1995
汪燮卿,浙江省龙游县,民主德国麦塞堡化工学院,1995
阮可强,上海市,莫斯科动力学院,1995
周永茂,浙江省宁波市,莫斯科动力学院,1995
张贵田,河北省藁城县,莫斯科航空学院,1995
毛炳权,广东省广州市,莫斯科门捷列夫化工学院,1995
汪懋华,广东省兴宁市,莫斯科农业机械化于电气化学院,1995
郑绵平,福建省漳州市,南京大学,1995
伦世仪,山东省诸城市,南京工学院,1995
唐明述,四川省安岳县,南京工学院,1995
黄熙龄,湖北钟祥,南京中央大学,1995
梅自强,江苏省常州市,南通学院,1995
殷震,江苏省吴县,南通学院,1995
旭日干,内蒙古自治区科右前旗,内蒙古大学,1995
任继周,山东省平原县,前国立中央大学,1995
沈国舫,上海市,前苏联列宁格勒林学院,1995
王思敬,上海市,前苏联莫斯科地质学院,1995
陈厚群,江苏省无锡市,前苏联莫斯科动力学院,1995
孙敬良,山东省莱州市,前苏联茹科夫斯基军事航空工程学院,1995
关肇邺,北京,清华大学,1995
陆建勋,北京市,清华大学,1995
吴佑寿,广东省潮州市,清华大学,1995
江欢成,广东省梅州市,清华大学,1995
郑健超,广西南宁市,清华大学,1995
孙玉,黑龙江省肇东县五站乡,清华大学,1995
龙驭球,湖南省安化县,清华大学,1995
张履谦,湖南省长沙市,清华大学,1995
李庆忠,江苏省昆山县,清华大学,1995
张钟华,江苏省苏州市,清华大学,1995
韩英铎,辽宁省沈阳市,清华大学,1995
李三立,上海,清华大学,1995
叶铭汉,上海市,清华大学,1995
朱永濬,上海市,清华大学,1995
杨士莪,天津市,清华大学,1995
毛用泽,浙江省宁波市,清华大学,1995
吴澄,浙江省桐乡市,清华大学,1995
汤德全,浙江省镇海县,瑞士联邦工业大学,1995
张启先,江苏靖江,厦门大学,1995
许居衍,福建省福州市,厦门大学,1995
赵法箴,山东省烟台莱州市,山东大学,1995
高从堦,山东省即墨市,山东海洋学院,1995
管华诗,山东省夏津县,山东海洋学院,1995
山仑,山东省龙口市,山东农学院,1995
陈敬熊,浙江省镇海,上海大同大学,1995
侯芙生,江苏省无锡市,上海国立暨南大学,1995
胡壮麒,上海市,上海沪江大学,1995
孙俊人,江苏省松江县,上海交通大学,1995
陈明致,福建省福州市,上海交通大学,1995
刘建航,河北省深泽县,上海交通大学,1995
侯德原,江苏省泰州市,上海交通大学,1995
顾夏声,江苏省无锡,上海交通大学,1995
许国志,江苏省扬州市,上海交通大学,1995
朱伯芳,江西省鹰潭市,上海交通大学,1995
朱英浩,上海市,上海交通大学,1995
赵梓森,上海市,上海交通大学,1995
陈先霖,四川省遂宁县,上海交通大学,1995
吴祖垲,浙江省嘉兴,上海交通大学,1995
周炯槃,浙江省上虞县,上海交通大学,1995
屠基达,浙江省绍兴市,上海交通大学,1995
顾懋祥,江苏省太仓,上海雷士德工学院,1995
郁铭芳,上海市,上海私立东吴大学,1995
陈新,江苏省无锡市,上海同济大学,1995
叶可明,上海市金山县,上海同济大学,1995
沈荣显,辽宁省辽阳,沈阳农业大学,1995
沈德忠,贵州贵阳,四川大学,1995
罗平亚,四川省内江市隆昌县,四川石油学院,1995
傅恒志,河南省开封市,苏联列宁格勒工学院,1995
岑可法,广东省佛山市,苏联莫斯科包曼高等工业大学,1995
林永年,浙江省宁波市,苏联莫斯科大学,1995
陈清如,浙江省杭州市,唐山交通大学,1995
王梦恕,河南省温县,唐山铁道学院,1995
张寿荣,山东省济南市,天津北洋大学,1995
张寿荣,山东省济南市,天津北洋大学,1995
袁晴棠,河南省南召市,天津大学,1995
袁晴棠,河南省南召市,天津大学,1995
刘济舟,河北省滦县,天津工商学院,1995
宁津生,安徽省桐城县,同济大学,1995
项海帆,上海,同济大学,1995
朱能鸿,上海市,同济大学,1995
何友声,浙江省宁波市,同济大学,1995
涂铭旌,重庆市,同济大学,1995
谢鉴衡,湖北省洪湖市,武汉大学,1995
方智远,湖南省省衡阳市,武汉大学,1995
俞大光,湖南省长沙市,武汉大学,1995
叶尚福,四川省成都市,西安交通大学,1995
崔俊芝,河南省新乡市,西北工业大学,1995
张立同,重庆市,西北工业大学,1995
